fecha_reproduccion,nombre_cancion,artista,album,fecha_album,generos,popularidad_artista,popularidad_cancion,duracion_ms,explicito,tempo,danceability,energy,instrumentalness,acousticness,valence
2024-11-19 01:14:56,TRAQUETO,iZaak,TRAQUETO,2024-07-12,"trap latino, urbano latino",318396,75,202200,True,99.955,0.78,0.599,0.0,0.135,0.394
2024-11-19 01:14:56,Cette fille,Miel De Montagne,Miel de Montagne,2019-04-05,"french indie pop, french indietronica",79771,51,168983,False,117.222,0.826,0.434,0.216,0.0581,0.39
2024-11-18 01:14:07,Ojalá que llueva café,Café Tacvba,Avalancha de éxitos,1996,"latin alternative, latin pop, latin rock, mexican rock, rock en espanol",3241810,52,207186,False,85.131,0.413,0.594,1.32e-05,0.479,0.893
2024-11-18 01:14:07,Trop Vite,Miel De Montagne,Tout Autour De Nous,2022-05-06,"french indie pop, french indietronica",79771,39,185920,False,110.001,0.777,0.592,0.0307,0.138,0.435
2024-11-18 01:14:07,Laissez-Moi Rêver,Miel De Montagne,Tout Autour De Nous,2022-05-06,"french indie pop, french indietronica",79771,28,175426,False,94.014,0.659,0.509,3.74e-05,0.628,0.45
2024-11-18 01:14:07,La ingrata,Café Tacvba,Re,1994-07-20,"latin alternative, latin pop, latin rock, mexican rock, rock en espanol",3241810,65,212000,False,142.942,0.748,0.835,1.97e-06,0.0854,0.896
2024-11-18 01:14:07,Permis b bébé,Miel De Montagne,Miel de Montagne,2019-04-05,"french indie pop, french indietronica",79771,47,189776,False,118.002,0.922,0.521,0.589,0.12,0.463
2024-11-18 01:14:07,Aprovéchate,Café Tacvba,El Objeto Antes Llamado Disco,2012-01-01,"latin alternative, latin pop, latin rock, mexican rock, rock en espanol",3241810,59,254173,False,113.993,0.741,0.686,0.0289,0.0742,0.466
2024-11-18 01:14:07,Pour moi la vie va commencer - Bande Originale du film « presque légal »,Miel De Montagne,Pour moi la vie va commencer (Bande Originale du film « presque légal »),2024-07-26,"french indie pop, french indietronica",79771,25,100697,False,134.679,0.492,0.241,0.000465,0.931,0.173
2024-11-18 01:14:07,Tu n'y connais rien,Miel De Montagne,Petit garçon,2018-06-15,"french indie pop, french indietronica",79771,23,228990,False,108.991,0.947,0.426,0.619,0.00177,0.547
2024-11-18 01:14:07,Slow pour mon chien,Miel De Montagne,Slow pour mon chien,2018-04-13,"french indie pop, french indietronica",79771,35,188000,False,80.025,0.695,0.274,0.253,0.719,0.243
2024-11-18 01:14:07,Como te extraño mi amor,Café Tacvba,Avalancha de éxitos,1996,"latin alternative, latin pop, latin rock, mexican rock, rock en espanol",3241810,69,214880,False,124.725,0.791,0.759,4.44e-05,0.0823,0.917
2024-11-18 01:14:07,Esa noche,Café Tacvba,Re,1994-07-20,"latin alternative, latin pop, latin rock, mexican rock, rock en espanol",3241810,58,206373,False,134.855,0.738,0.418,0.0,0.768,0.592
2024-11-18 01:14:07,No Has Cambiado,Baby Rasta,No Has Cambiado,2024-10-03,"reggaeton, trap latino, urbano latino",2223004,71,276404,True,89.022,0.791,0.514,9.41e-06,0.555,0.481
2024-11-18 01:14:07,TBC (KARMA),KEVIN ROLDAN,TBC (KARMA),2024-10-03,"reggaeton, reggaeton colombiano, trap latino, urbano latino",5619714,64,144466,False,103.848,0.677,0.695,0.0,0.136,0.176
